# Description: This file is for creating figure.
# This file is generated by program. Do not change the contain of file!.
#
#[srcIpAddress,dstIpAddress,dstPort,Protocol]-label-x-y 
('147.32.84.165', '66.197.230.37', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '60.173.109.42', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.108.116.95', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.123.93.197', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.239.66.130', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.189.80.68', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '85.185.226.13', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '81.177.24.26', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '183.79.29.240', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '209.58.232.24', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '88.198.40.152', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.188.114.91', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '81.228.8.16', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '71.254.168.5', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.223.97.114', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '15.227.128.50', '53', 'udp')<<<MALWARE<<<10<<<0
('147.32.84.165', '98.136.185.95', '587', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '68.178.227.144', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '212.121.40.130', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '192.52.178.30', '53', 'udp')<<<MALWARE<<<52<<<0
('147.32.84.165', '193.232.158.33', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '85.95.164.60', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '199.254.49.1', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '178.162.251.16', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '173.193.98.194', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.205.163.37', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '199.7.49.30', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '168.95.5.68', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '147.32.84.171', '139', 'tcp')<<<NORMAL<<<6<<<0
('147.32.84.165', '204.13.250.29', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.222.142.34', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '80.69.69.69', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '207.69.189.219', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '208.84.67.210', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '222.23.100.200', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.248.234.8', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '60.190.223.75', '2012', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '74.86.246.220', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.33.174.74', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '93.115.96.73', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '46.24.73.184', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '134.192.184.196', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '173.236.81.226', '3817', 'tcp')<<<MALWARE<<<13<<<0
('147.32.84.165', '212.65.65.208', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.143.48.42', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '218.94.62.106', '25', 'tcp')<<<MALWARE<<<2<<<0
('61.191.41.53', '147.32.84.165', '5060', 'udp')<<<NORMAL<<<1<<<0
('147.32.84.165', '195.146.81.131', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '217.77.53.237', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '144.92.197.138', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '74.125.235.48', '443', 'tcp')<<<MALWARE<<<1<<<1
('147.32.84.165', '81.93.1.103', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '95.211.58.146', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.49.98.151', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '81.18.113.2', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '65.60.45.186', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.201.231.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '81.177.160.12', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.186.19.144', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '15.195.208.12', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '63.99.16.91', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '94.127.76.180', '80', 'tcp')<<<MALWARE<<<16<<<0
('147.32.84.165', '213.155.85.19', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.30.199.67', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.165.32.250', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '86.110.161.242', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.208.75.59', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.75.73.242', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '68.142.196.63', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.205.169.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '82.146.43.42', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '143.107.171.10', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '82.80.231.22', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.162.130.246', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '83.242.222.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.36.74.25', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '74.125.224.242', '443', 'tcp')<<<MALWARE<<<1<<<1
('147.32.84.165', '79.137.226.103', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '194.67.2.108', '53', 'udp')<<<MALWARE<<<11<<<0
('147.32.84.165', '65.55.37.120', '25', 'tcp')<<<MALWARE<<<40<<<0
('147.32.84.165', '69.90.105.239', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '168.95.195.16', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '207.140.148.93', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.184.8.20', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '75.126.136.141', '25', 'tcp')<<<MALWARE<<<4<<<0
('111.221.102.89', '147.32.84.165', '8008', 'tcp')<<<NORMAL<<<2<<<0
('147.32.84.165', '89.108.79.71', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '212.72.11.123', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '175.100.132.205', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '64.30.236.67', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.176.77.58', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '69.89.31.171', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '209.190.61.34', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '85.10.192.231', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.137.160.20', '25', 'tcp')<<<MALWARE<<<16<<<0
('147.32.84.165', '81.200.15.192', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '209.173.58.66', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '205.173.240.3', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '46.17.41.43', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '208.87.136.141', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '194.213.49.253', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.93.17.29', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '87.118.93.232', '53', 'udp')<<<MALWARE<<<1<<<0
('95.217.1.67', '147.32.84.165', '3', 'icmp')<<<NORMAL<<<1<<<0
('147.32.84.165', '117.204.65.177', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.98.51.60', '53', 'udp')<<<MALWARE<<<9<<<0
('147.32.84.165', '65.55.37.88', '25', 'tcp')<<<MALWARE<<<66<<<0
('147.32.84.165', '85.158.141.190', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '78.108.89.252', '53', 'udp')<<<MALWARE<<<27<<<0
('147.32.84.165', '83.243.66.38', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '78.138.135.10', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '95.58.236.6', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '195.151.243.253', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '193.106.93.114', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '193.187.8.2', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '200.40.13.162', '25', 'tcp')<<<MALWARE<<<2<<<0
('188.40.106.4', '147.32.84.165', '3', 'icmp')<<<NORMAL<<<2<<<0
('147.32.84.165', '212.46.12.210', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '69.4.235.115', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '182.177.235.90', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '199.124.61.3', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '192.41.162.30', '53', 'udp')<<<MALWARE<<<64<<<0
('147.32.84.165', '67.69.240.24', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '194.106.220.51', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.108.71.50', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '93.188.122.246', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.160.82.200', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '178.125.53.75', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.253.192.21', '53', 'udp')<<<MALWARE<<<15<<<0
('147.32.84.165', '216.184.2.127', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.128.126.223', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.108.64.2', '53', 'udp')<<<MALWARE<<<29<<<0
('147.32.84.165', '89.179.245.20', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '46.4.240.218', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '64.94.117.197', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '123.192.69.237', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.54.148.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.203.127.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.170.144.119', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '85.17.228.47', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '63.117.255.126', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '217.175.129.60', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '205.188.100.160', '443', 'tcp')<<<MALWARE<<<2<<<2
('147.32.84.165', '178.63.9.230', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '184.154.232.6', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '203.131.74.12', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.239.224.236', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '109.200.240.44', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.152.35.7', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.125.39.27', '25', 'tcp')<<<MALWARE<<<72<<<0
('147.32.84.165', '74.125.232.220', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.199.252.202', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '78.108.90.240', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '129.67.1.171', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '168.95.6.59', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.209.127.15', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '90.156.159.174', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.72.165.79', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '62.183.66.244', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '83.168.203.18', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '64.120.228.123', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '167.136.36.141', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '137.254.16.78', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.248.99.46', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '85.10.255.72', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '203.147.156.193', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '95.163.64.203', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.16.16.30', '53', 'udp')<<<MALWARE<<<35<<<0
('147.32.84.165', '216.82.241.99', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '209.127.193.138', '6667', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '117.197.21.10', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '220.156.142.32', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '92.53.116.26', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '216.82.250.179', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '174.120.98.200', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.209.130.11', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '190.246.180.21', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '195.85.215.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '77.243.97.250', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.74.128.129', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '86.111.9.178', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '205.188.186.137', '587', 'tcp')<<<MALWARE<<<13<<<0
('147.32.84.165', '213.145.47.147', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '202.112.126.218', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.96.204.109', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.149.7.77', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '193.4.194.100', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '64.95.64.197', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '202.141.255.46', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '156.154.100.15', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.78.70.100', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '78.46.43.119', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '92.243.65.124', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.245.231.121', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.148.175.178', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '93.170.49.20', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '88.198.87.228', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '93.187.188.186', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '210.65.31.5', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '78.159.114.121', '53', 'udp')<<<MALWARE<<<33<<<0
('147.32.84.165', '188.120.40.236', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '204.93.160.141', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '178.170.144.118', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.234.192.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '82.165.24.57', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.197.128.155', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '81.3.168.250', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '195.209.10.37', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '98.154.67.160', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.140.44.136', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '46.4.162.187', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '67.19.46.48', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '78.159.115.170', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '128.121.85.2', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '80.12.242.82', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '193.233.112.1', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '193.166.4.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '38.117.98.203', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '205.188.59.193', '25', 'tcp')<<<MALWARE<<<115<<<0
('147.32.84.165', '80.98.191.57', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '82.146.46.219', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '77.221.157.170', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.221.67.149', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '92.38.209.176', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '170.202.119.16', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '184.22.184.126', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.28.172.37', '25', 'tcp')<<<MALWARE<<<36<<<0
('147.32.84.165', '212.224.118.229', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '208.65.145.13', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '192.36.125.2', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '217.112.37.11', '53', 'udp')<<<MALWARE<<<12<<<0
('147.32.84.165', '194.150.175.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '84.47.177.77', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.230.87.3', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.23.239.242', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.60.45.187', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '69.4.216.8', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '59.48.7.172', '6667', 'tcp')<<<MALWARE<<<9<<<0
('147.32.84.165', '213.189.240.25', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.66.240.130', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.24.22.136', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.219.24.248', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.89.132.27', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.9.81.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.111.161.189', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '194.231.186.24', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '93.188.0.20', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '193.200.71.212', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '217.163.21.40', '80', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '65.220.119.60', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '178.208.76.159', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.39.2.3', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '213.189.198.7', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '60.234.40.20', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '193.124.133.210', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '212.74.78.59', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.231.182.6', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '31.42.162.114', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '190.151.53.33', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '88.154.15.50', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '61.135.132.110', '25', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.175.58.41', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '195.42.162.50', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '194.135.30.55', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '94.63.149.150', '65520', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.26.224.65', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.40.139.200', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '76.96.62.116', '25', 'tcp')<<<MALWARE<<<56<<<0
('147.32.84.165', '193.36.41.100', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '77.221.203.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.103.141.190', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.94.45.242', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '85.17.162.148', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '213.154.78.2', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '78.108.180.63', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '124.81.2.139', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.40.74.4', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '218.189.208.34', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.19.237.56', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.94.237.139', '25', 'tcp')<<<MALWARE<<<132<<<0
('147.32.84.165', '217.69.210.242', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.54.79.106', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '218.200.225.22', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '194.0.21.5', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '192.9.171.171', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.108.122.149', '53', 'udp')<<<MALWARE<<<26<<<0
('147.32.84.165', '119.154.24.194', '6667', 'tcp')<<<MALWARE<<<9<<<0
('147.32.84.165', '38.121.100.66', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.138.83.140', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '109.234.198.10', '53', 'udp')<<<MALWARE<<<1<<<0
